User_ID,Country,University,Qualification,Discipline,GPA
295,Ghana,University of Madras,Masters,Information Science,,2.5
296,India,Delhi University,Bachelors,Bachelor of Commerce,,7.8
297,India,Kjsieit,3rd year,IT,,8.23
298,USA,Georgia Institute of Technology,Undergraduate,Computer Science,,3
299,usa,Victoria college,associates,nursing,,3.7
300,Nigeria,Federal Polytechnic Nekede,OND,Co operative economics and Management,,3
301,Tanzania,Marian girls high school,secondary school,science,,division 1 point 10
302,USA,Weber State University,Junior,Human Resources,,2.5
303,Morocco,facultè des sciences et techniques Tanger,master degree,energy engineering,,88
304,England,University of East London,Bachelor of Arts,Law,,0
305,United States,CSUF,freshman,Music Education,,3.37
306,Algérie,moulay taher,master 1,électrotechnique industriel,,85
307,Chile,Universidad de Concepción,Bachelor,Industrial Engineering,,3
308,india,sanskar collage,nursing,medical science,75%
309,India,Banaras Hindu University,Post Graduation,Geography,69.50%
310,india,vikaram university,graduate,b.com,70
311,Canada,York university,Bsc,Biology,5
312,Bangladesh,Mangalore University,GRADUATE,Business Administration,65%
313,India,K J Somaiya College Of Engineering,UG,Electronics and Telecommunication,6.2
314,india,Pace institute of technology and science,b-tech 2nd year,Electrical communication engineering,96
315,India,SRTM university,B.tech UG,civil engineering,6.5
316,tunisia,Istic,Licences Senior,Computer Science,10.3
317,Indonesia,universitas islam negeri,bachelor,psychology,2.9
318,india,Nehru institute of technology,bacholer of engineering,aeronautical,6.56
319,India,IMCOST,Graduation,BMS,9.85
320,algeria,msila university,licence Law,law,23
321,Puerto Rico,Universidad Politecnica,,High school,94
322,Uzbekistan,Gdansk University,Bachelor,Finance,100%
323,Bangladesh,BUP,BBA,Accounting,3.9
324,Tunisia,Umperial colleage,Bac,Physics,50
325,India,CSI institute of technology,Engineering,Electronics and communication engineering,0
326,south Africa,Richfield,N5,public relations,70
327,Broome,Suny Broome,High school,Health,81
328,United states of America,community college of Allegheny,college freshman,engineering,3.4
329,United States,Kennesaw State university,freshman,Computer engineering,3.9
330,The Netherlands,Utrecht University,Bsc,Global Sustainability Science,73
331,United States of America,Jarvis Christian College,Sophomore,Accounting,3.1
332,india,teerthanker mahaveer university moradabad,bachelor degree,electrical engineering,65
333,United States,Muskegon Community College,Undergraduate,Computer Science,3.5
334,USA,Monterey High,Student,High School,4.24
335,India,park collage of engineering and technology,final year,electronics and communication engineering,7.5
336,India,maharaja sayajirao university of Baroda,M.sc,information technology,6.8
337,Indonesia,Dipenogoro University,S1,Civil Engineering,not yet
338,INDIA,Proudhadevaraya institute of technology,engineering,electrical and electronics,75
339,india,sandip university,2 year,bcom,6.8
340,india,vishwa bharti public school,high school,ip,87
341,India,cic,Masters,cs,8
342,india,cs,Bachelors,ca,5
343,india,jamia millia Millia islamia,post Graduate,nil,9.4
344,India,Vivekanand Institute of Professional Studies,Pursuing Graduation,Bachelor of Business administration,7
345,India,Dev Bhoomi Institute of Technology,B.tech,Mechanical Engineering,72%
346,India,st. Xavier college Ranchi,graduate,physics,69.59
347,india,harshini degree collage,degree,Biotechnology,60%
348,INDIA,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,Bachelors,CIVIL,93
349,India,Jain University,Bachelors,Management Studies,8
350,India,Dharmsinh Desai University,B.tech,Chemical engineering,7.62
351,india,"Chandigarh University , Chandigarh",bachelor,bachelor of pharmacy,8
352,Florida,College of Central Florida,freshman,Music,N/A
353,Canada,Waterloo,undergrad,computer science,4
354,Bangladesh,Green University,BSC,Computer Science,2.68
355,Italy,Università degli Studi di Trento,Laurea Magistrale,Management,"27,0"
356,India,H.R. college of commerce and economics,First Year(UG),Bachelor Of Management Studies,90.8%(class 12)
357,Indonesia,SMAN 1 Sooko,Senior High School,Science,3.5
