Headline,Type of opportunity,Discipline,Minimum Qualification / Applicable for,Countries eligible,Location of opportunity,vector
Business Strategy Internship,69,0,0,70,148,"[ 2.08346340e-01  1.80344907e-01 -2.36757258e-02  1.62477449e-01
  6.44217426e-02 -3.74564346e-02 -2.65805386e-01 -4.66715198e-01
  1.42874802e-01  4.62185877e-02 -5.70633698e-03  1.05210610e-01
 -3.35204368e-01  8.81713980e-02 -5.59742030e-04  2.80527027e-02
 -2.82128086e-03  3.67388183e-02  1.18763366e-01 -3.56651159e-01
  4.86395176e-01 -2.29427419e-02 -5.23445196e-02 -7.73161150e-02
  2.20847536e-04 -8.07401717e-01 -2.08189228e-01 -2.91305235e-01
 -1.12134058e-02  1.51745953e-01  2.65396831e+00  3.18415876e-01
 -2.36077370e-02 -6.07035663e-01  9.94111494e-03 -4.77185151e-02
 -2.76524659e-01  3.22559181e-01 -1.31987832e-01 -8.10124388e-02
 -2.07316715e-01 -2.39557928e-01  1.11480861e-01  1.54731173e-01
 -1.44864116e-02  3.07500340e-02  1.27442730e-01  5.78389117e-01
  7.04751807e-02  3.60779440e-01]"
2nd International Conference on Dental Health and Oral Hygiene,69,0,0,70,202,"[-0.11556815  0.39519043 -0.58952858 -0.09000987 -0.3243479   0.30777278
 -0.1868073  -0.39067736  0.53572802 -0.14428947  0.28603306 -0.02004291
  0.33621163 -0.05368633 -0.10556566  0.23223784 -0.58050918  0.02438839
  0.16754369  0.07864558  0.30402599  0.30452894  0.06170569 -0.25061208
 -0.10563489 -0.76155477 -0.41648807 -0.36378189 -0.33530492 -0.07372603
  2.17250299  0.27078898 -0.14640343 -0.74428607 -0.00245466  0.3081053
  0.35452865  0.40668999  0.64043214 -0.04759853 -0.11986985 -0.341011
  0.09080253  0.56136425  0.36218619  0.37725357  0.25473441  0.50620171
 -0.08359819  0.26743087]"
BOLC Distance Learning Scholarships,76,0,0,70,211,"[-0.0188859   0.58578497 -0.00466494 -0.21527378  0.06784402  0.08983137
 -0.34395855 -0.41870638  0.05794182 -0.00561977  0.08455968 -0.09427384
  0.11951969 -0.37072616  0.20814349  0.17232552  0.10979197  0.25665041
 -0.05519837 -0.16284803  0.22943186  0.1127978  -0.166436    0.21739599
  0.00808419 -0.93626677  0.02002055 -0.46340381 -0.22444852 -0.17241139
  2.68928484  0.28802703 -0.35724235 -0.39545477  0.35995984 -0.05233884
  0.23069525  0.35626203  0.04429374 -0.27751564  0.01453974 -0.36451636
  0.27901329  0.42680078 -0.40529841 -0.08361113  0.18406536  0.15135645
 -0.02269329  0.25372132]"
BREAD Conference on Behavioural Economics and Development,34,0,0,70,202,"[-0.16765398  0.59861026 -0.2818964  -0.0147471   0.06121449 -0.1198895
 -0.35517864 -0.64540923 -0.16511575 -0.3124872   0.23436659  0.06785452
 -0.22499291 -0.28672894  0.19860176  0.07259399  0.05014251  0.11486972
 -0.57488124  0.35877743  0.27223406  0.15766074  0.20819666  0.07087864
  0.01181852 -0.9683212   0.09926307 -0.50269594 -0.80498799  0.05282445
  2.52729874 -0.0579529  -0.22684682 -0.5129441  -0.16294747 -0.20892022
  0.06369654  0.23281348  0.598445    0.0555376   0.13659862 -0.07028321
  0.12050847 -0.15616751 -0.00330157  0.35735092  0.15610793  0.06183849
  0.10464294  0.21455572]"
12th ASEF Journalists' Seminar (ASEFJS12) - Media Trust & Information in the Digital Age,34,31,0,70,175,"[ 1.76993053e-01  1.93837239e-01 -8.10451469e-02 -6.86433175e-02
  9.89551080e-02 -1.09062830e-01 -1.06867449e-01 -4.35412251e-01
  3.72095634e-02 -6.34392810e-02 -3.17200109e-02  5.72177126e-02
 -2.47293886e-01  3.99022850e-02  4.38217975e-02 -5.16087712e-02
  7.65118649e-02 -8.24108711e-02  1.16603331e-01 -4.28921238e-02
  2.56522980e-01  1.45627033e-01  1.58753876e-01  1.28950921e-01
  1.29454196e-01 -9.42305377e-01 -3.70900056e-01 -3.66970864e-01
 -1.30843671e-01  1.60994133e-01  2.49688272e+00  1.60821887e-01
 -1.70864120e-01 -5.79833924e-01 -3.88500612e-01 -3.39602501e-02
 -2.59499044e-01 -6.45948215e-02 -3.05448679e-01  3.58701946e-02
 -3.61031359e-03 -1.69931230e-01  1.51901708e-01  1.29906490e-01
  7.02906263e-02  4.00355795e-02 -8.74525330e-02  2.99160191e-01
  2.86369539e-02 -1.77859994e-03]"
LOEWE Foundation Craft Prize,25,0,0,70,76,"[-0.07706897  0.50909657 -0.20970816 -0.0316772   0.15826298 -0.03181536
 -0.39824113 -0.36549703  0.18129635  0.34463213  0.13609613  0.08514338
 -0.22028148  0.04956383  0.26350934 -0.25304933  0.32612115  0.08435176
 -0.18519795 -0.24126112  0.50580002  0.06011424 -0.34885718 -0.24686744
  0.10750011 -0.66697607 -0.62961024 -0.4738713  -0.34535518 -0.09448029
  1.85815043  0.19456374 -0.21517564 -0.26859205 -0.10846813  0.04906015
  0.0772774   0.47513235 -0.25811231 -0.21583005  0.14364222 -0.21699805
  0.08741615 -0.24014824 -0.25957259  0.07991549 -0.05800121  0.02133531
 -0.24471229 -0.06330502]"
Winter Japan Culture Camp 2020,87,0,0,70,102,"[ 0.01758211  0.46123284 -0.24201482 -0.05700186  0.26677591 -0.08543881
 -0.28497627 -0.4688442   0.02928997  0.18252692  0.23366655  0.02212767
  0.02631349 -0.0100585   0.02211533  0.0200298   0.06527506  0.19974949
  0.19331352 -0.06104054  0.38767343  0.21928246 -0.32553302  0.0590753
  0.27931852 -1.2126527  -0.19548726 -0.44658091 -0.04983487 -0.11032698
  2.93654325  0.38215473 -0.25216579 -0.79900824 -0.29663249  0.10682681
 -0.2696483   0.11687457 -0.17682397 -0.03275957 -0.13488359 -0.29459578
  0.16152027  0.11268384  0.25367405 -0.13063176  0.10993487  0.30635959
 -0.02790334  0.10003944]"
2020 Jansky Fellowship Program at National Radio Astronomy Observatory,60,10,0,70,211,"[ 0.22812764  0.45919881 -0.02034743 -0.12990825 -0.09198768 -0.22737776
 -0.48534409 -0.28907266  0.2186405   0.02808766  0.24974685  0.13091111
  0.17446777  0.21427586 -0.28166211 -0.11585526  0.21487821  0.31543066
 -0.16164613 -0.05725259  0.43833425  0.22658562 -0.0200701  -0.21159147
  0.23924698 -0.59592696 -0.37430566 -0.61781696 -0.58290374  0.03329473
  1.93563961  0.00254081 -0.15528652 -0.94377696 -0.18934954  0.0703497
 -0.17693977  0.3299664   0.12662638  0.12819478  0.11262921 -0.39062747
  0.09765257  0.2625861   0.09302611 -0.03422365  0.08809715  0.5993716
 -0.42468255  0.14612652]"
Asia Foundation Development Fellows Program 2020,53,0,0,70,148,"[ 0.17848981  0.4249761  -0.0461121  -0.01240311  0.0867942   0.05762443
 -0.38654893 -0.41137287  0.15703837  0.07623376  0.20528326  0.01402918
 -0.07673162  0.1190472   0.04265463 -0.00305781  0.20474331  0.22850104
 -0.01323191 -0.02647057  0.25893521  0.1215487   0.00392019 -0.06038753
 -0.00436743 -0.92537293 -0.08179812 -0.57117883 -0.24134842  0.18721404
  2.86771499  0.3309129  -0.15901524 -0.60509872  0.03760557  0.08087071
 -0.22384518  0.26574008 -0.2024068  -0.18678688 -0.37225584 -0.34693532
  0.23579616  0.11774881  0.05679206 -0.03881638 -0.05064112  0.26333557
 -0.23145409  0.13318179]"
Camelback Fellowship 2020 for Entrepreneurs in the US,60,5,0,300,211,"[ 5.01344895e-02  4.34232222e-01  1.27668362e-01 -4.28442165e-02
  8.13797284e-02  6.34219033e-02 -4.53895698e-01 -6.14736313e-01
 -1.33004535e-03 -1.17063768e-01 -6.00809194e-02 -3.92350861e-02
 -2.04384474e-02 -9.32440895e-02  6.95570701e-02 -1.89778201e-02
  1.00176439e-01  2.42968201e-01 -1.91003003e-01 -2.20926248e-02
  2.18010299e-01 -4.55965424e-02  1.08642171e-01  1.19225245e-01
 -1.09143428e-01 -7.58605144e-01 -4.53417520e-02 -4.12759225e-01
 -2.24417350e-01 -1.05099552e-01  2.53070629e+00  8.49300275e-02
 -1.76901980e-01 -2.61584772e-01  6.48337293e-02 -8.80423515e-02
  1.70879605e-02  1.64080433e-01  7.98026321e-02 -1.36643821e-01
 -8.22188717e-02 -2.66359700e-01  1.82986406e-01  7.00290136e-02
 -1.11199838e-01  2.12057554e-01 -6.07005440e-02 -9.52796211e-02
 -1.01267286e-01  2.71498212e-01]"
"Luce/ACLS Dissertation Fellowships in American Art 2020/2021 (Up to $40,000)",60,31,45,300,211,"[ 2.68811435e-02  6.66494896e-01 -5.43823307e-02 -4.11387562e-01
 -8.44326094e-03  9.25078522e-04 -5.24382715e-01 -3.53127256e-01
  8.39147684e-02 -2.50950917e-02 -1.66685995e-02  4.01965984e-02
  1.91028140e-01 -9.37999046e-02  2.26980482e-01 -1.40938698e-01
  1.28732173e-02  1.09271341e-01 -1.40263717e-01  1.77818041e-01
  5.82252056e-01  3.29856002e-02  9.92354584e-02 -1.76895355e-01
 -1.42076140e-01 -9.24303599e-01 -9.83248786e-02 -6.89812465e-01
 -5.51277036e-01 -1.19403374e-02  2.31437931e+00  2.16209194e-02
 -3.09643099e-01 -6.91137195e-01  1.16745520e-01  1.41275728e-01
  7.76287792e-02  4.77004758e-01  6.11677609e-02 -2.02462463e-01
 -1.00980922e-01 -3.18635035e-01  1.41887361e-01  2.52414409e-01
 -2.82704039e-01 -1.82884243e-01  3.46300918e-02  9.87890982e-02
 -3.27448792e-01  1.15885200e-01]"
Co-Creation Hub (CcHub) Graduate Programme 2019 for Nigerians,60,10,14,254,133,"[ 0.02770315  0.44993976 -0.06257806 -0.01270188 -0.10914329 -0.14675524
 -0.38094615 -0.43636755  0.17941179  0.00472325  0.16556079  0.0117289
 -0.07699687 -0.00951565  0.16370703 -0.01480238  0.07835407  0.44139667
 -0.10300883 -0.07852464  0.43353045  0.28230655 -0.0238919   0.03474964
  0.05942824 -0.81822273 -0.08655615 -0.59265543 -0.17001113  0.09784935
  2.81066454  0.35429909 -0.23779387 -0.62123012  0.16205582  0.37604867
 -0.13578072  0.441206   -0.0685622  -0.26721627 -0.06564688 -0.32044875
  0.24941361  0.18302412 -0.11238616 -0.06594743  0.26672794  0.41683649
 -0.16731288  0.22696418]"
"NVIDIA Graduate Fellowship Awards 2020-2021 for PhD students worldwide (up to $50,000)",60,10,24,70,148,"[ 0.12211942  0.26475486  0.19959293  0.04254465  0.04093646  0.05148713
 -0.351139   -0.33759332  0.17584167  0.16468994  0.07081743 -0.00859682
 -0.03367557 -0.05354361  0.04853251 -0.06376964  0.04147079  0.26842834
  0.0149168  -0.22676065  0.42634644  0.02647065 -0.01194146 -0.16519356
  0.06071339 -0.94345356 -0.14041845 -0.54791047 -0.18374686 -0.10665978
  2.54500746  0.23418847 -0.21064273 -0.66893885  0.0888334   0.14584493
 -0.21493975  0.39268589 -0.00923354 -0.20589843 -0.14446917 -0.25522
  0.05832314  0.20894012 -0.02142144 -0.10495617  0.15139015  0.38493461
 -0.22771259  0.12165178]"
Magnum Foundation Photography and Social Justice Fellowship 2020 (Funded to New York),60,0,0,70,211,"[ 1.78404306e-03  4.83130637e-01 -2.33855602e-01 -1.11291012e-01
  1.25663189e-01  1.26748716e-01 -2.92729423e-01 -6.74817232e-01
  3.35053050e-01  1.93290132e-01  5.02790773e-02 -2.08394094e-02
 -1.69000370e-01  1.31819307e-01 -1.14538784e-01 -2.75076706e-01
  2.93845339e-01  1.39629817e-01  1.21538720e-01 -4.62357662e-02
  3.62813529e-01  3.55305896e-01 -2.96091631e-01 -1.30342220e-01
  1.47600647e-01 -8.48476858e-01 -2.90716735e-01 -5.08824350e-01
 -2.31507513e-01  9.80014287e-02  2.34545941e+00  3.26247651e-02
 -2.78411576e-01 -1.02592636e+00 -4.44061072e-01  6.00674564e-02
 -2.20744984e-01  2.61980499e-01 -6.82622177e-02 -1.15390861e-02
  8.27633518e-03 -2.67405877e-01  9.27118074e-02  1.69481412e-01
 -2.15778117e-01 -3.55940613e-02  2.82026518e-02  1.77862442e-01
 -2.08832076e-01  2.35418631e-01]"
"Mellon/ACLS Scholars & Society Fellowship Program 2020/2021 (Stipend of $75,000)",60,31,45,300,211,"[ 0.07930061  0.42909482 -0.22171101 -0.16845064 -0.04282011  0.13289622
 -0.23225707 -0.47162438  0.1606559   0.0576371   0.00414221  0.05271477
 -0.01513082 -0.03061971 -0.12279502 -0.03246753  0.23145196  0.04502008
  0.29702573 -0.05379647  0.45090852  0.10028406 -0.10592931 -0.1372719
  0.097341   -0.94861091 -0.14976364 -0.59341992 -0.40252341  0.06790893
  2.52231756  0.21980252 -0.28139485 -0.98604656 -0.19620845 -0.01221895
 -0.30573599  0.35369724 -0.07577462 -0.09130377 -0.23227146 -0.35709312
  0.17407055  0.21473548 -0.11672898  0.06368062  0.09167801  0.48541812
 -0.2393274   0.17544374]"
Getty/ACLS Postdoctoral Fellowships in the History of Art 2020/2021 (Funding available),60,31,45,70,211,"[ 0.09498774  0.46549933 -0.19347788 -0.32955634  0.07341242  0.11803856
 -0.34675864 -0.3694893   0.04414017  0.1473813  -0.04232131  0.16309075
  0.02806008 -0.02950065  0.20547492 -0.21312636  0.18389672  0.08318633
  0.02770741  0.05061149  0.38858096  0.10348581  0.03401381 -0.20040432
  0.10728179 -0.80759084 -0.35896236 -0.60078964 -0.42468555 -0.11264221
  2.32933778  0.02769449 -0.21322179 -0.62340726 -0.10100533  0.21783797
 -0.03436407  0.44693423 -0.0560965  -0.26901245  0.01815264 -0.29482595
  0.04615244  0.2098396  -0.31727924 -0.04220656  0.09832815  0.2986499
 -0.42708969  0.09768564]"
Japan Exchange and Teaching Programme 2020 for Young South Africans (Fully-funded to Japan),60,31,0,267,102,"[-5.54052133e-02  3.34057975e-01 -2.18143153e-01  4.67088277e-02
  1.14885205e-01 -1.73656002e-01 -2.09729457e-01 -3.69559516e-01
  8.26786813e-02 -1.50174084e-01  3.15059573e-01  1.76226389e-02
 -2.09488133e-02  6.51032380e-02  7.11176109e-03  1.11899229e-01
  4.43873175e-02  2.29106041e-01  2.06000221e-01  1.22305694e-01
  6.69558851e-01  2.05726685e-01 -1.43027786e-01 -5.68115974e-04
  2.81010260e-02 -1.21121761e+00  2.24129646e-01 -4.85354777e-01
 -3.64177275e-01  2.18600096e-01  3.00249532e+00  4.31622271e-01
 -2.39367901e-01 -5.71210248e-01 -2.01848832e-01  1.57715613e-02
 -1.98555894e-01  6.67155764e-02 -3.00051820e-01  3.17597044e-02
 -2.72645358e-01 -3.02778563e-01  3.92605145e-01 -1.52486564e-01
  1.86989211e-01 -7.06341565e-02 -2.58078196e-01  6.61464347e-01
  8.02215921e-02  9.69084891e-03]"
"MAN Impact Accelerator 2019/2020 for Social Ventures in Transport and Logistics (Up to $50,000 USD grant support)",60,10,0,215,40,"[ 0.30074917  0.21969857  0.05135744  0.03681467 -0.04227489 -0.11378308
 -0.29218073 -0.33687056  0.07770612  0.04189407  0.13058164 -0.07894338
 -0.27884974  0.10337788  0.26217774 -0.00780542  0.21807388  0.19740637
 -0.21544091 -0.20167806  0.23951511 -0.02575394 -0.22302421  0.07518142
  0.17350234 -1.01299329 -0.04151231 -0.21290995 -0.09132494  0.16053285
  2.55165497  0.31182035 -0.19091818 -0.40631912 -0.19036105 -0.00989918
 -0.13992824  0.22340895  0.04949177 -0.06310583 -0.28499957 -0.11919506
  0.28581801 -0.05605423  0.03399538  0.21716329  0.01876192  0.0639948
  0.13162344 -0.06123007]"
Kectil Leadership Program 2020 for Young Leaders in Developing Countries,60,0,0,70,148,"[ 0.1907183   0.45736311  0.12446875  0.02182011  0.14805452  0.11788298
 -0.24630923 -0.44014655  0.14250477  0.07711909  0.16886389  0.0525778
 -0.1403134   0.12137364  0.15797654  0.01978711  0.2679361   0.17680211
  0.04486278 -0.04355476  0.15153233  0.03248104  0.1690248   0.10272145
  0.02860896 -0.9983811  -0.0571844  -0.53481715 -0.23010574  0.03823429
  2.91470576  0.36798829 -0.34384446 -0.61234666 -0.07488295  0.0443562
 -0.06549327  0.21351533 -0.15432699 -0.16502718 -0.20916344 -0.27049529
  0.16228288  0.05322656 -0.08454756  0.16414569 -0.08434951  0.3020605
 -0.16659444  0.16848591]"
Architectural Photo Competition: Photo Of The Year 2019,25,31,14,70,62,"[-0.06358798  0.48390335 -0.05486786 -0.03124939  0.22937993 -0.09863226
 -0.38905521 -0.32759091 -0.15020092  0.08748932  0.02261254 -0.21187486
 -0.14734339  0.04951157  0.52341311 -0.08245016  0.07812288  0.03224704
 -0.36663007 -0.30783044  0.29008313  0.05270158 -0.1517178   0.23524991
  0.05739933 -1.00034399 -0.39404425 -0.38104277 -0.29510802 -0.06992902
  2.75852789  0.13588246 -0.13347437 -0.38630409 -0.00937688  0.04018001
  0.18694888  0.33991049 -0.18700001 -0.44121718  0.08210493 -0.19811418
  0.26729786  0.10114021 -0.01818028  0.1962217   0.08213881 -0.08449129
  0.00333755 -0.06873521]"
Live Laugh Love – Elevating people through architecture,25,31,14,70,148,"[ 0.43012303  0.24391603 -0.07486285 -0.25856386  0.0273562   0.56585966
  0.13209097 -0.45636066  0.44867922  0.142486    0.18356424 -0.08451536
  0.02920817 -0.27174344  0.19861727  0.11260233 -0.20592563 -0.04278159
  0.33338821 -0.2627484  -0.23700681  0.164645   -0.10960478 -0.01948109
  0.186346   -0.94803602 -0.51405879 -0.32923236  0.29127461  0.31566675
  2.66569573  0.40382691  0.09438243 -1.07709006 -0.18809216  0.25392224
  0.03620973  0.06599894  0.32090867 -0.0881264  -0.268891   -0.23144397
  0.18749104  0.76292197  0.2989887   0.0483369   0.10727412  0.33775866
  0.12069324  0.34541758]"
E-Sports in Architecture Competition: The Digital Colosseum,25,31,14,70,148,"[ 0.19590556  0.29939703  0.06428608  0.01214055  0.31457978 -0.10709997
 -0.16179815 -0.17765104 -0.13100176  0.25453726 -0.03478593  0.06123045
 -0.08175349 -0.01580144  0.32234612  0.26694137  0.30581723  0.193149
 -0.1196614  -0.347899   -0.045091    0.14755989 -0.0317416   0.15927803
  0.30936944 -0.9524163  -0.60543522 -0.13997441  0.42863574 -0.08269248
  2.54292817  0.13461534 -0.20459899 -0.44171663 -0.05589138 -0.01509482
 -0.06525385  0.11316396 -0.14080444 -0.28668444 -0.10952407 -0.15078094
  0.12492996  0.33832726 -0.28390906  0.18578145 -0.003405   -0.10405459
 -0.1153033   0.19645055]"
International Architectural Design Competition: Redefining Learning Spaces,25,10,14,70,211,"[-6.56997906e-04  3.15225162e-01 -1.92399151e-01 -1.99747542e-01
 -6.76743660e-02 -1.97760779e-01 -5.54295386e-01 -3.12869323e-01
  1.11320219e-01 -9.30641162e-03 -5.06574061e-03 -1.38441805e-01
  1.04150291e-01 -2.86394499e-01 -2.37756211e-01 -1.32242889e-01
 -2.27166729e-02  4.86430413e-01 -1.14990181e-01 -1.68503302e-01
  2.51239654e-01  2.83359302e-01 -2.94420760e-01  8.35410516e-02
  5.03047165e-02 -1.12768899e+00 -2.49110107e-01 -4.11003922e-01
 -4.05637869e-01 -2.83762891e-01  2.32343112e+00  1.08163302e-01
 -2.93741055e-01 -9.77448180e-01  1.36600186e-01  7.93623718e-04
 -1.07515350e-01  2.29779456e-01  3.62692325e-01  2.58517893e-02
 -1.44106440e-01 -1.68252262e-01  3.46758573e-03  2.52535001e-01
 -7.00529640e-02  3.38335624e-01  1.06066846e-01  1.21755285e-01
 -2.23513806e-01  2.52371828e-01]"
Architecture Competition for shared studio spaces for design firms & freelancers: Co-Design Milan,25,10,14,70,98,"[ 0.579901    0.15679948  0.0118766  -0.071585    0.187704    0.103345
 -0.34552191 -0.392212   -0.27424841  0.0241755  -0.076553    0.07704099
 -0.50940801  0.0663507   0.22937999  0.3367752   0.636328    0.1274562
  0.28336945 -0.77043291  0.05650899  0.03642421 -0.6797883   0.060108
  0.501844   -0.89719531 -0.617838   -0.2889219   0.3483199  -0.1996921
  2.30218004  0.205523   -0.2862395  -0.938283    0.0475126   0.282955
 -0.2605077   0.52601079 -0.13567215 -0.00832801 -0.25398499 -0.231526
  0.27378059  0.35215     0.2196364   0.145772    0.29374812  0.208202
 -0.0431494   0.01344157]"
Competition to Design a Souvenir or Gadget for Visitors of SZIDF 2019,25,31,14,70,146,"[-0.14248867  0.15586006 -0.40090901  0.35212174  0.08868867 -0.45458999
 -0.222359   -0.65026465  0.03308467  0.0114082   0.398018   -0.13005134
  0.01222707  0.0447566   0.01277027  0.130227   -0.087171    0.53809301
 -0.10361133 -0.37520907  0.89503399 -0.17018199 -0.49225054 -0.1658912
 -0.0672838  -0.81040534 -0.22064061 -0.21704233 -0.4609     -0.058166
  2.38902067  0.12206652 -0.05023107 -0.4823      0.01827713 -0.13207534
  0.07366846  0.44722867 -0.019236    0.16203941 -0.35122379 -0.502008
  0.40041266  0.04384106  0.12023578 -0.0067454  -0.10600866  0.3263136
  0.32042681  0.04119767]"
"Gatogether A new Community Center in Lima, Peru",25,31,14,70,153,"[ 0.38796931  0.32891274 -0.0904023  -0.09199026  0.36533621 -0.0409399
 -0.31397678 -0.0994755  -0.04235233  0.0339959   0.03710967 -0.10790752
 -0.06375468 -0.11711836  0.19216032  0.01443357  0.26732514 -0.0618681
 -0.0136703  -0.22957624 -0.01406902  0.10380526 -0.0648531   0.110443
  0.04801279 -0.9787893  -0.2484967  -0.20225928  0.13964427 -0.00738588
  2.93235652  0.12466245 -0.29462697 -0.51643672 -0.08946904 -0.08582731
 -0.05015046  0.02520971  0.06475446 -0.06699551 -0.2227447  -0.23648038
  0.19094425  0.09324002 -0.13946528  0.1318089  -0.20291565  0.02530827
  0.03492555  0.06686889]"
Nature Untamed – Finding new interfaces between man and wild,25,31,14,70,148,"[ 3.93936434e-01  1.76797545e-01 -2.66025504e-01 -1.46701342e-01
  3.85448357e-01  1.00788099e-01  1.83133374e-03 -2.49971901e-01
  1.26987950e-01 -2.06802527e-02  1.81803252e-01  2.42836649e-01
 -9.07250491e-02 -2.57086496e-02 -4.70484877e-02  3.62019348e-01
  2.55671814e-01 -5.54579409e-02  1.70338949e-01 -2.52375097e-01
 -1.04932052e-01  1.22546448e-01 -1.56153595e-01 -1.15698750e-01
  2.71340978e-01 -1.04556215e+00 -1.31784496e-01 -3.31474673e-03
  4.11392244e-01  1.64056604e-01  2.72426004e+00  5.15219489e-02
 -4.08683753e-01 -5.90249499e-01 -1.39518378e-01  1.67503399e-01
  6.11210074e-03  1.31313502e-01 -1.45382002e-01 -1.72654851e-01
 -6.23667996e-02 -2.79185153e-01  1.37229299e-01  3.21118501e-01
  3.11084976e-02  1.10900952e-01  4.70669500e-02  1.80377746e-01
  1.59171157e-01  4.33590719e-03]"
Product Design Comepetion of a Kids Foldable Car Seat: Temporary Needs,25,31,14,70,98,"[ 2.03009567e-01  1.65169001e-01  3.26929610e-01 -1.71704867e-01
  1.89595565e-01  2.76628035e-01 -5.48045652e-01 -3.38440393e-01
  5.36201595e-03 -4.20369082e-02  9.48963650e-03 -8.44382673e-02
 -2.60493177e-01  1.04908348e-01  2.98168209e-01  7.96640010e-02
  1.86129985e-03  3.46121564e-01 -2.76909479e-01 -5.44854346e-01
  2.05999278e-01  2.57613826e-01 -1.41335785e-01  2.43143696e-01
  2.04802697e-01 -1.18368391e+00 -2.05968393e-01 -1.66347672e-01
  3.68631211e-01 -2.04690265e-01  2.69264044e+00  3.94516738e-01
 -3.31492364e-01 -1.82266770e-01  2.19629393e-01  1.86609222e-01
  1.02271465e-01  3.20358697e-01  4.95017320e-03 -1.64094875e-01
 -7.90054793e-02 -3.87864751e-02  2.71344042e-01  1.05108952e-01
  7.16642114e-02  1.52566432e-01 -4.23933879e-02 -3.38537509e-01
  1.88570087e-01  2.20132601e-02]"
Circle of Life – Reinterpreting urban cemeteries in context of future,25,31,14,70,148,"[ 2.39169463e-01  2.25665734e-01  2.24829063e-01 -3.03679331e-01
  3.98152002e-01  2.96417407e-01 -2.04605997e-01 -2.14341334e-01
 -5.65102665e-02  4.31825431e-02 -2.63299312e-02 -3.77281680e-02
 -9.31015366e-02 -1.86691258e-01  1.94375668e-01  1.67657337e-01
  1.08085826e-01 -1.18158374e-01  8.11153322e-02 -3.10296064e-01
 -8.62502843e-03 -6.25808003e-02  3.45421365e-02 -1.76048011e-01
  3.21385539e-01 -9.96776669e-01 -2.22061464e-01 -1.56539863e-01
  4.69493005e-01  3.53761135e-01  2.78923933e+00  4.04184397e-01
 -6.64184029e-02 -5.50866734e-01  1.79568011e-02  2.53953226e-03
 -1.90604740e-01  1.97493327e-01 -2.19954800e-01 -3.17094332e-01
 -3.30479737e-01 -1.68847536e-01 -4.61804004e-02  1.34522710e-01
 -1.98272396e-01  1.17802670e-01 -2.47108616e-02  2.63003472e-01
 -2.12343365e-02  1.05197371e-01]"
Moon trip – Inspiring humanity to explore beyond earth,25,31,14,70,148,"[ 0.53370084  0.44202307  0.13713462 -0.05618999  0.2244573   0.04312577
 -0.38869615 -0.52745892  0.11652392  0.10927985  0.10559354  0.13364754
 -0.13744939  0.36625308 -0.0713783   0.06065362  0.23593068  0.36251238
 -0.16068093 -0.37905969  0.12240461  0.25279993 -0.28006    -0.021356
  0.44417254 -0.88526338 -0.61318231 -0.48891477  0.13863707 -0.01412769
  2.39581231  0.28189384 -0.24993023 -0.86186077 -0.01078977  0.2124193
 -0.16495392  0.33630852 -0.23116752  0.06867076 -0.11908599 -0.11702462
  0.16738877  0.21784544  0.04052631  0.26649169  0.13623072 -0.07167946
 -0.32889892  0.173653  ]"
